file,merchant,date,time,currency,category,subtotal_orig,tax_orig,total_orig,subtotal_usd,tax_usd,total_usd,payment_method,items,ocr_text_preview
040.jpg,FEC,,,MYR,Retail,,,,,,,,"[{""name"": ""cidestick Zen, 4's"", ""qty"": null, ""unit_price"": null, ""total_price"": null}, {""name"": ""PU #/C B/ A4 4503 7"", ""qty"": null, ""unit_price"": null, ""total_price"": null}, {""name"": ""PLUS stapler set 010E\"""", ""qty"": null, ""unit_price"": null, ""total_price"": null}, {""name"": ""PEC EXM. ERS14S-187018"", ""qty"": null, ""unit_price"": null, ""total_price"": null}, {""name"": ""S4 SUPER S M AKT SPM [BK]"", ""qty"": null, ""unit_price"": null, ""total_price"": null}]","BTS RM10 Voucher Issu:
FEC GRIP BPO:5 BIK PK.
#lember Discount
VEC GRIP BPO. 5.BLU PK* !!
Member Discount *:
-
3 cidestick Zen, 4's
STATE PROMO SPECTAL
PU #/C B/ A4 4503 7
STAT-PROMO SPECIAL
PLUS stap"
041.jpg,Desenieulonaea,,,MYR,Other,,,,,,,CASH,[],"•Member Card No:2002008362249
Desenieulonaea
CAIRT
HEMAN GEASSE PAT
34рcs
0:40215L
amnene-reo
Menher Discounta-c
.E
4 5E55
Total RM Inci Mof GSTE 5
EN51041
Round ine Ad BN E
ro50
#Total
0300%
Cash"
042.jpg,YUAP CODEX,2017-10-07,18:02:00,MYR,Other,52.84,3.02,55.86,12.6816,0.7248,13.4064,CASH,"[{""name"": ""FET"", ""qty"": 1, ""unit_price"": 57.24, ""total_price"": 57.24}, {""name"": ""PROEMK AWLED ETCK"", ""qty"": 1, ""unit_price"": null, ""total_price"": 52.84}]","'TANINVOIÇE
NO.:139110-
10/070017
18:02
YUAP CODEX
ATV
U/PRICE
1321
57.243
11598
PROEMK AWLED ETCK
52.84.
SUE-TOTAL
3.02
TOBI GETE!
- QUA TOTẠL
56.011
FOUNDING ADAUET_
-0.01
retapiea
1 FET
TOTAL ITEMB"
043.jpg,HON HWA HARDWARE TRADING,2017-02-11,09:35:48,MYR,Hardware & Tools,18.49,1.11,19.6,4.4376,0.2664,4.704,CASH,"[{""name"": ""ALUMNIUM ROD"", ""qty"": 1, ""unit_price"": 18.49, ""total_price"": 18.49}]","HON HWA HARDWARE TRADING
-Company Reg. No.: 001055194X
NO 37. JALAN MANIS 7. TAMAN SEGAR,
56100 CHERAS, KUALA LUMPUR.
+603-9130.2672
GST Reg: 001125220352
TAX INVOICE
11/02/2017 9:35:48 AM
CB#: 89379
"
044.jpg,HON HWA HARDWARE TRADING,2017-01-05,17:51:00,MYR,Hardware & Tools,4.72,0.28,5.0,1.1328,0.0672,1.2,CASH,"[{""name"": ""PVC WALLPLUG"", ""qty"": 50, ""unit_price"": 0.1, ""total_price"": 5.0}]","HON HWA HARDWARE TRADING
Company. Reg No: 001055194X
NO S7, JALANIMANIS 7, TAMAN SEGAR,
$ 56100 CHERAS, KUALA LUMPUR:
+603-9130 2672
GST Rog: 001125220352:
TAX INVOICE
05/01/2017 447:51 PM
CB#: 66549:"
045.jpg,EVERGREEN LIGHT SDN BHD,2017-09-18,17:21:00,MYR,Retail,24.52,1.48,26.0,5.8848,0.3552,6.24,CASH,"[{""name"": ""PROEMK IOW LED EMICK"", ""qty"": 1, ""unit_price"": 24.52, ""total_price"": 24.52}]","EVERGREEN LIGHT SDN BHD
1827฿55-0)
NO7 1JALAN PUTERIZA.
-BANDAR FUTERI;
47100 PUCHONG: EELANGOR
TELFAX: 03 00609719
3NO.1D BeT: 000389353477)
TAX INVOICE
NO.2 142507
#01-01
18/092017
17:21
UPRICE
'ANT"
046.jpg,VIVOPAC MARKETING SDN BHD,2017-01-17,13:31:27,MYR,Retail,44.0,2.64,46.65,10.56,0.6336,11.196,CASH,"[{""name"": ""PP- 14\u00d720:0:04mm"", ""qty"": 1, ""unit_price"": 14.6, ""total_price"": 14.6}, {""name"": ""i116x26 0:04mm"", ""qty"": 1, ""unit_price"": 6.0, ""total_price"": 6.0}, {""name"": ""26 \u00d7 33 (85HT) Red"", ""qty"": 1, ""unit_price"": 8.0, ""total_price"": 8.0}, {""name"": ""10PP: Tapes"", ""qty"": 1, ""unit_price"": 0.8, ""total_price"": 0.8}, {""name"": ""24x (75HT) ReN"", ""qty"": 51, ""unit_price"": null, ""total_price"": null}]","VIVOPAC MARKETING SDN BHD (1070687-M)
314 JALAN MANIS 4 TAMAN SEGAR 56100 KL
TEL: 03-91334364
FAX:: 03-91310522
www.vivopac.com
-GST REG: 000565805056
LITAX INVOICE
:CS21532619:
•Date;
17/01/2017 01:3"
047.jpg,,2017-09-13,13:09:01,MYR,Retail,49.5,,,11.88,,,CASH,"[{""name"": ""Stretch Film (100mmx120m)"", ""qty"": 2, ""unit_price"": 4.5, ""total_price"": 9}, {""name"": ""PP 516\u00d726 0.04mm"", ""qty"": 11, ""unit_price"": 15, ""total_price"": 165}, {""name"": ""PP : 14x20,0.04mm"", ""qty"": 2, ""unit_price"": 15, ""total_price"": 30}]","Doc
CS11567459
Date®
13/09/2017:01:13:09 PM
Promoter:
Terminal
ton: cashier?"" Tüif
DESCRIPTION-
PRICE DisC
(LOTY
= ERM=
Stretch Film (100mmx120m):
100 ROLL2 22
-4.5000 EFT
.PP 516×26 0.04mm
2-11:00 PK"
048.jpg,FY EAGLE ENTERPRISE,2017-12-07,16:18:00,MYR,Retail,9.43,0.57,10.0,2.2632,0.1368,2.4,CASH,"[{""name"": ""SR:500ML PAINT REMOVER (METE) EKTH"", ""qty"": 1, ""unit_price"": 9.43, ""total_price"": 9.43}]","FY EAGLE
ENTERPRISE.
002065464-X
NOE 22 JAL9N PES 14/41
TAMAN PERINRUETRIAN BUKIT SERDANG,
43300 SERI KEMBANGAN;:
SELANGOR
TEL:: 03-89433143 FAX: 03-89433143
-GST NO: 001683156224
TAX INVOICE
12.
RECE"
049.jpg,MODERN IEFOT SDN EHD,2016-12-04,09:58:00,MYR,Hardware & Tools,141.51,8.49,150.0,33.9624,2.0376,36.0,CASH,"[{""name"": ""HEATGUN 2000W STANLEY"", ""qty"": 1, ""unit_price"": 141.51, ""total_price"": 141.51}]","1-1
MODERN IEFOT SDN EHD
950345-T
NO:19; PT186854 JALAN JAMBU MELAKA 2y
JINJANG SELATAN, KEPONG.
TEL: +603-6242 8076 FAX: +603-6242 9176=*
GST NO: 002098102272
CASH
RECEIPT.#: CS00090733 DATE: 04/12/2"
050.jpg,Shell,,,MYR,Fuel,30.0,,30.0,7.2,,7.2,,"[{""name"": ""Mutro"", ""qty"": 1, ""unit_price"": 30.0, ""total_price"": 30.0}]","D code AO:
54aljitro Pump 1101,
977
RM
600 MUtro
30:00
GUR
30
100
RM-NE180:00
00% CSTE
tal Gross""
shell Loyalty carde
6018840117325593
Pontent be avarded for any eligiote
purchasess
Ray, your fuel wit"
051.jpg,AEON,2018-03-14,12:43:00,MYR,Retail,11.55,0.7,12.25,2.772,0.168,2.94,CASH,"[{""name"": ""TOPVALU FLOOR C"", ""qty"": 1, ""unit_price"": 5.6, ""total_price"": 5.6}, {""name"": ""CIF REGULAR"", ""qty"": 1, ""unit_price"": 6.65, ""total_price"": 6.65}]","AEON C6.(M): BHD (126926-H)
3RD FLR, AEON-TAMAN MALURI SC
JLN JEJAKA, TAMAN MALURT
CHERAS, 55100 KUALA LUMPUR
GST ID:: 002017394688
SHOPPING HOURS
MON-SUN: 1000 HRS - 2200 HRS
VALUED CUSTOMER: 1130307"
052.jpg,Econsave Casi & Carry (FC) S/B,2018-03-22,10:17:00,MYR,Retail,20.95,4.86,25.81,5.028,1.1664,6.1944,CASH,"[{""name"": ""ES CHOICE SOFT"", ""qty"": null, ""unit_price"": null, ""total_price"": null}, {""name"": ""CHRJES ICE COOL HI"", ""qty"": null, ""unit_price"": null, ""total_price"": null}]","ECONSAVE CASI & CARRY (FC) S/B (930311=1)
Lot GO1, KL Festival City,
Nó. 67 JIn Ibu Kota Inn Danau Kóta, KL.
Tél : (603) 4148 1027
22//03/18- 10:17
RG:42
•TX:24382
GST. Reg No ::001919221760
Inu Nó: 2"
053.jpg,POPULAR BOOK (M) SDN BHD,2018-03-14,12:52:00,MYR,Retail,7.5,0.45,7.95,1.8,0.108,1.908,CASH,"[{""name"": ""CBE Rubber Band200gin"", ""qty"": 1, ""unit_price"": 7.5, ""total_price"": 7.95}]","POPULAR BOOK
60.
(M) SDN BHD
(Co: No: 113825-W)
(GST Reg No. 001492992000)
No 8, Jalan 7/118B, Desa Tün Razak
:56000 Kuala Lumpur, Malaysía
SUNWAY VELOCITY
Tel a
:03-9201 6281/6920
14/03/18 12:52
LEE "
054.jpg,PREMIO STATIONERY SDN BHD,2018-03-20,15:20:16,MYR,Retail,12.64,0.76,13.4,3.0336,0.1824,3.216,CASH,"[{""name"": ""ENERGIZER BATTERY AA 4'S"", ""qty"": 1, ""unit_price"": 13.4, ""total_price"": 13.4}]","REMIO
PREMIO STATIONERY SDN BHD
(Co: No.: 123769-W)
©ST Reg. No. 001032994816
No.57, Jalan SS 3/29,;
47300 Petaling Jaya, Selangor.
03-7874 8605
TAX INVOICE
Invoice No:
Date:
Cashier:
SS3-154439
: 20/"
055.jpg,LIM SENG THO HARDWARE TRADING,2018-02-08,12:42:00,MYR,Hardware & Tools,9.91,0.7,10.61,2.3784,0.168,2.5464,,"[{""name"": ""BEG GUNI"", ""qty"": 15, ""unit_price"": 0.66, ""total_price"": 9.91}]","3 18 02 013
LIM SENG THO HARDWARE TRADING
No 7 Simpang Off Bat Village,
Or alan Ipoh Batu 5:51200 Kuala Lumpur
MALAYSIA
Tel & Fax No : 03-6258 7191
03-6258 7191
Company Reg No. : (002231061-T.)
GST Re"
056.jpg,LIM SENG THO HARDWARE TRADING,2018-02-02,10:06:00,MYR,Hardware & Tools,6.6,0.7,7.3,1.584,0.168,1.752,CASH,"[{""name"": ""BEG GUN!"", ""qty"": 10, ""unit_price"": 0.66, ""total_price"": 6.6}]","3 18 02 013.
LIM SENG THO HARDWARE TRADING
No 7. Simpang Off Batu Village,
Jalan Ipoh Batu 5.51200 Kuala Lumpur
MALAYSIA
Tel & Fax No: 03-6258 7191
03-6258 7191
Company Reg No. (002231061-T)
GST Reg N"
057.jpg,LA STATIONERY SDN BHD,2018-02-09,09:21:19,MYR,Retail,53.58,3.22,56.8,12.8592,0.7728,13.632,CASH,"[{""name"": ""GELPEN REFILL PILOT G2.0.5 BLACK"", ""qty"": 5, ""unit_price"": 2.86, ""total_price"": 14.3}, {""name"": ""GELPEN REFILL PILOT G2 0:5 BLUE/S"", ""qty"": 5, ""unit_price"": 2.86, ""total_price"": 14.3}, {""name"": ""GELPEN REFILL PILOT G2 0.5 RED"", ""qty"": 2, ""unit_price"": 2.86, ""total_price"": 5.72}, {""name"": ""GLUE - CLEAR GLUE 1000ME"", ""qty"": 1, ""unit_price"": 7.42, ""total_price"": 7.42}, {""name"": ""LIQUID PAPER - PAPERMATE NP10 7ml."", ""qty"": 2, ""unit_price"": 3.71, ""total_price"": 7.42}, {""name"": ""PERMANENT MARKER SHARPIE FINE BLACK 30051"", ""qty"": 1, ""unit_price"": 2.33, ""total_price"": 2.33}, {""name"": ""BALLPEN PILOT FRIXION 0.5 BLACK"", ""qty"": 1, ""unit_price"": 5.3, ""total_price"": 5.3}]","318 02013
Tax Invoice
LA STATIONERY SDN BHD (640899-P)
NO:8,""JALAN 46/26,2*
TAMAN SRI RAMPAL,
53300 KUALA LUMPUR.
Tel No.:: 03 - 4023, 0088
GST Reg. : 001542721536
Invoice No. : TO1-006194
Date.:-
09/"
058.jpg,,2018-02-10,,,Other,,,53.0,,,,CASH,"[{""name"": ""SR:SUGA BAG"", ""qty"": 10, ""unit_price"": null, ""total_price"": null}]","*303k 25%
RECEIPT:#: C500094964 DATE 101/02/20183
CASHIER USERS
OTY 2521U/RAMOUNT
3674
10
A 0953
:3019
SR:SUGA BAG
TOTAL QUANTITY:
10
DISC.
ROUNDING
:0.00
530
0:00
TOTAL
CASH
MEHANGE
""CODE"
059.jpg,LIM SENG THO HARDWARE,2018-02-09,10:05:00,MYR,Hardware & Tools,7.92,0.7,8.4,1.9008,0.168,2.016,CASH,"[{""name"": null, ""qty"": 1, ""unit_price"": null, ""total_price"": null}]","31802013°
LIM SENG THO HARDWARE RADING
No 7. Simpang Off Batu Village.
Jalan Ipoh Batu 5. 51200 Kuala Lumpur
MALAYSIA
Tel & Fax No: 03-6258 7191
03-6258 7191
Company Reg No: :(002231061-T).
GST Reg No"
060.jpg,,2017-04-12,,MYR,Other,800.0,48.0,848.0,192.0,11.52,203.52,CASH,"[{""name"": ""EXTENTON LADER 123X12"", ""qty"": null, ""unit_price"": 424.0, ""total_price"": 848.0}]","CASH A
RECEIPT #:
:C500042153 DATE: 04/12/2017:
CASHIER
SUSER
ETEN
- AMOUNT
I EXTENTON LADER 123X12
424:00
848.00 93,
TOTAL QUANTITY:
TOTAL
CASH
CHANGE
DISC
SIGST
NDING
1848
848
0:00
48:00
0:00
0O
DO
"
061.jpg,JSR,,,MYR,Retail,116.16,6.36,122.52,27.8784,1.5264,29.4048,CASH,"[{""name"": ""LED 11 SIGNAL"", ""qty"": 1, ""unit_price"": 55.0, ""total_price"": 55.0}, {""name"": ""KZ SIGNAL CONDENSOR (KOZI) 12V (MODEL SC1201)(MT)"", ""qty"": 1, ""unit_price"": 18.0, ""total_price"": 18.0}, {""name"": ""YAMLUBE (SEMI) MOTOR OIL"", ""qty"": 1, ""unit_price"": 30.0, ""total_price"": 30.0}, {""name"": ""COTBFILTER:LC135"", ""qty"": 1, ""unit_price"": 13.0, ""total_price"": 13.0}, {""name"": ""BULB SIGNAL 12V8 RXZ G18:5"", ""qty"": 2, ""unit_price"": 3.0, ""total_price"": 6.0}, {""name"": ""NUMBER PLASTIC"", ""qty"": 6, ""unit_price"": 1.0, ""total_price"": 6.0}]","52100 Kuala Lumpur
ITEL:
4603-6251-2293
GST ID No: 000180269056
PLATE NO.:
1: LED 11 SIGNAL
&1 X 55.00
2. KZ SIGNAL CONDENSOR (KOZI) 12V
(MODEL SC1201)(MT)
E1.X 18.00
YAMLUBE (SEMI) MOTOR OIL
LPX 30.0"
062.jpg,SYARIKAT PERNIAGAAN GIN KEE,2018-04-01,15:46:00,MYR,Retail,94.5,5.67,100.17,22.68,1.3608,24.0408,CASH,"[{""name"": ""K10L1X8"", ""qty"": 1, ""unit_price"": 40.28, ""total_price"": 40.28}, {""name"": ""1LT BIG TREE HIGH GLOSS PAINT"", ""qty"": 1, ""unit_price"": 26.5, ""total_price"": 26.5}, {""name"": ""7\"" ROLLER REFILL"", ""qty"": 1, ""unit_price"": 6.89, ""total_price"": 6.89}]","3 18 оröїl
SYARIKAT PERNIAGAAN GIN KEE
(81109-A)
NO 290, JALAN AIR PANAS;
SETAPAK,
53200; KUALA LUMPUR
TEL: 03-40210276
GST ID: 000750673920
SIMPLIFIED TAX INVOICE
: CS00012544
: USER
Qty
CASH
Doc No:"
063.jpg,SYARIKAT PERNIAGAAN GIN KEE,2018-01-25,14:29:00,MYR,Hardware & Tools,180.0,10.8,190.8,43.2,2.592,45.792,CASH,"[{""name"": ""12MM 4/8B PLYWOOD"", ""qty"": 3, ""unit_price"": 60.0, ""total_price"": 180.0}]","31 8 010ї
oli
!!
SYARIKAT PERNIAGAAN GIN KEE
(81109-A)
NO 290, JALAN AIR PANAS,
SETAPAK,
53200, KUALA LUMPUR.
TEL: 03-40210276
GST ID: 000750673920
SIMPLIFIED TAX INVOICE
CASH
Doc No:
Cashier
Salesper"
064.jpg,GSAL,,,LKR,Other,210.48,,,1.1576,,,,"[{""name"": ""RAPAN CAN"", ""qty"": null, ""unit_price"": 38.0, ""total_price"": null}, {""name"": ""TURAIROLERT SEN"", ""qty"": null, ""unit_price"": 37.0, ""total_price"": null}, {""name"": ""SCAPPER BIASAS"", ""qty"": null, ""unit_price"": 64.0, ""total_price"": null}, {""name"": ""Sals Bsduing csmi"", ""qty"": null, ""unit_price"": 6.0, ""total_price"": null}]","CS00059502
Date
:Time
(15,43900
aRen
GSAL
sipricet
5.300 SRI
22.00
RAPAN CAN
38:00%
210.48
TURAIROLERT SEN
37,00 5922
18:00~
1-010
MOFFER 1)
8.46
4630L
CARROWTAL TARUZ
SCAPPER BIASAS
ioaloy C
Sals Bsd"
065.jpg,GIN KEE,2018-01-03,17:08:00,MYR,Retail,68.0,4.08,72.08,16.32,0.9792,17.2992,CASH,"[{""name"": ""COTTON GLOVE (DOZEN)"", ""qty"": 1, ""unit_price"": 10.6, ""total_price"": 10.6}, {""name"": ""FACE MASK"", ""qty"": 2, ""unit_price"": 19.08, ""total_price"": 38.16}, {""name"": ""CS 200A CUTTING WHEEL"", ""qty"": 1, ""unit_price"": 23.32, ""total_price"": 23.32}]","rena ccfit.
18:01017
SYARIKAȚ PERNIAGAAN GIN KEE
(81109-A)
NO 290, JALAN AIR PANAS,
SETAPAK;
53200, KUALA LÚMPUR:
TEL : 03-40210276
GST ID: 000750673920
SIMPLIFIED TAX INVOICE
CẠSH
Doc No.
Cashler
Sal"
066.jpg,SYARIKAT PERNIAGAAN GIN KEE,2017-12-30,14:52:00,MYR,Hardware & Tools,84.0,5.04,89.04,20.16,1.2096,21.3696,CASH,"[{""name"": ""CEMENT (50KG)"", ""qty"": 2, ""unit_price"": 18.02, ""total_price"": 36.04}, {""name"": ""PASIR KASAR (BAG)"", ""qty"": 10, ""unit_price"": 5.3, ""total_price"": 53.0}]","3 18 01 017
SYARIKAT PERNIAGAAN GIN KEE
:(8.1109-A)
""NO 290, JALAN AIR PANAS,
SETAPAK:
53200, KUALA LUMPUR.
TEL: 03-40210276
GST ID : 000750673920
SIMPLIFIED TAX INVOICE
TCASH
Doc No.
Cashier
= Salesp"
067.jpg,SYARIKAT PERNIAGAAN GIN KEE,2018-01-03,13:04:00,MYR,Retail,94.34,5.34,94.34,22.6416,1.2816,22.6416,CASH,"[{""name"": ""BIG TREE HIGH GLOSS PAINT"", ""qty"": 1, ""unit_price"": 90.1, ""total_price"": 90.1}, {""name"": ""THINNER BOTTLE"", ""qty"": 1, ""unit_price"": 4.24, ""total_price"": 4.24}]","3 T8i01.
0.17
SYARIKAT PERNIAGAAN GIN KEE
:(81109-A)
NO 290, JALAN AIR PANAS,
• r.
SETAPAK;
53200, KUALA LUMPUR
TEL : 03-40210276
GST ID : 000750673920
SIMPLIFIED TAX INVOICE
ACASH
Doc No.
Cashier
Sal"
068.jpg,SYARIKAT PERNIAGAAN GIN KEE,2017-12-29,15:32:00,MYR,Retail,10.0,0.6,10.6,2.4,0.144,2.544,CASH,"[{""name"": ""EGIWIRE"", ""qty"": 1, ""unit_price"": 10.0, ""total_price"": 10.0}]",":3 1801 017
SYARIKAT PERNIAGAAN GIN KEE
4 (81109-A):
NO 290, JALAN AIR PANAS,
SETAPAK;
53200, KUALA LUMPUR.
TEL : 03-40210276
GST ID:: 000750673920
SIMPLIFIED TAX INVOICE
CASH
Dôc. No.
Cashier..
i Sal"
069.jpg,SYARIKAT PERNIAGAAN GIN KEE,2018-01-15,14:24:00,MYR,Hardware & Tools,10.5,0.63,11.13,2.52,0.1512,2.6712,CASH,"[{""name"": ""HOES PIN"", ""qty"": 3, ""unit_price"": 1.06, ""total_price"": 3.18}, {""name"": ""4' HOES HANDLE"", ""qty"": 1, ""unit_price"": 7.95, ""total_price"": 7.95}]","3
18
OiLE
5. =
SYARIKAT PERNIAGAAN GIN KEE
(81109-A):
NO 290, JALAN AIR PANAS.
SETAPAK:
53200, KUALA LUMPUR.
TEL : 03-40210276
GST ID : 000750673920
SIMPLIFIED TAX INVOICE
CASH
: CS00012751
¡Cashier
:"
070.jpg,SYARIKAT PERNIAGAAN GIN KEE,2018-02-01,09:38:00,MYR,Hardware & Tools,34.0,2.04,36.04,8.16,0.4896,8.6496,CASH,"[{""name"": ""CEMENT (50KG)"", ""qty"": 2, ""unit_price"": 17.0, ""total_price"": 34.0}]","bir kranipice
31802
016
SYARIKAT PERNIAGAAN GIN KEE
(81109-A)
NO 290, JALAN AIR PANAS,
SETAPAK,
53200, KÜALA LÜMPÜR.
TEL : 03-40210276
GST ID : 000750673920
SIMPLIFIED TAX INVOICE
CASH
Doc No
Cashier
"
071.jpg,SYARIKAT PERNIAGAAN GIN KEE,2018-01-31,10:41:00,MYR,Retail,96.0,5.76,101.76,23.04,1.3824,24.4224,CASH,"[{""name"": ""CUTTING DISC"", ""qty"": 2, ""unit_price"": 29.68, ""total_price"": 59.36}, {""name"": ""MAGIC SAND PAPER"", ""qty"": 10, ""unit_price"": 3.18, ""total_price"": 31.8}, {""name"": ""COTTON GLOVE (DOZEN)"", ""qty"": 1, ""unit_price"": 10.6, ""total_price"": 10.6}]","31800016
SYARIKAT PERNIAGAAN GIN KEE
(81109-A)
NO 290, JALAN AIR PANAS,
SETAPAK,
53200; KUALA LUMPUR
TEL: 03-40210276
GST ID: 000750673920
SIMPLIFIED TAX INVOICE
CASH
Doc No...
Cashier:
Salesperson
.:"
072.jpg,SYARIKAT PERNIAGAAN GIN KEE,2018-01-27,16:04:00,MYR,Other,21.0,1.26,22.26,5.04,0.3024,5.3424,CASH,"[{""name"": ""GUNI BAG"", ""qty"": 30, ""unit_price"": 0.74, ""total_price"": 22.2}]","31802016.
SYARIKAT PERNIAGAAN GIN KEE
(81109-A)
NO 290, JALAN AIR PANAS.
SETAPAK,
53200, KUALA LUMPUR.
TEL: 03-40210276
GST ID: 000750673920
SIMPLIFIED TAX INVOICE
CASH
Doc No.
Cashier
Salesperson
.: "
073.jpg,SYARIKAT PERNIAGAAN GIN KEE,2018-02-02,16:30:00,MYR,Other,88.8,5.33,94.13,21.312,1.2792,22.5912,CASH,"[{""name"": ""2X2"", ""qty"": 2, ""unit_price"": 12.72, ""total_price"": 25.44}, {""name"": ""2 X3"", ""qty"": 2, ""unit_price"": 18.2, ""total_price"": 36.4}]",",318
$.
SYARIKAT PERNIAGAAN GIN KEE
(81109-A)
NO 290, JALAN AIR PANAS,
SETAPAK,
53200, KUALA LUMPUR.
TEL: 03-40210276
GST ID: 000750673920
SIMPLIFIED TAX INVOICE
CẠSH
Doc No:
*11-
Cashier
Salesperson "
074.jpg,SULTAN AZLAN,2018-02-26,14:27:00,MYR,Other,7.0,0.42,7.42,1.68,0.1008,1.7808,,[],"tres
K=4D, UEN SULTAN AZLAN
HAH 51200 KUALA LUMPUR
TEL :
:03-4043 7678
TAX
INVOICE
26-02-2018
14:27
KL 001
035857
CUR PLS A4ZA3
RM7.42
"" Nô:
GST TA
GST 6%
TOTAL
AMT
RMT
RM7:00
RMO
): 42
ris:"
075.jpg,SULTAN AZLAN,2018-02-26,14:27:00,MYR,Other,7.0,0.42,7.42,1.68,0.1008,1.7808,,[],"tres
K=4D, UEN SULTAN AZLAN
HAH 51200 KUALA LUMPUR
TEL :
:03-4043 7678
TAX
INVOICE
26-02-2018
14:27
KL 001
035857
CUR PLS A4ZA3
RM7.42
"" Nô:
GST TA
GST 6%
TOTAL
AMT
RMT
RM7:00
RMO
): 42
ris:"
076.jpg,SR CRE ASTARILAMINATINGFI,,,,Other,,,34.0,,,,CASH,[],"CS00310146
Date:
10°
RSP
955507891250895
340:00
SR CRE ASTARILAMINATINGFI
E TOTIQTY
42740
Discount
oral ast
Rounding
Total
CASH
Change
GSIT
236100M 2116
·36.00g
2:16"
077.jpg,Corner MEER,2017-10-13,11:37:00,,Other,79.5,,,,,,CASH,"[{""name"": ""SR CABLE LUG 60MM(M10)"", ""qty"": 1, ""unit_price"": 175.0, ""total_price"": 175.0}, {""name"": ""107645h"", ""qty"": 1, ""unit_price"": null, ""total_price"": 79.5}]","22
GE
ecelpt S0008881020
salesperso
Corner MEER
• Date: 13/10/201
Time: 11137.00
SIRSPS
ARSPS
10186121222
105 1435
SR CABLE LUG 60MM(M10)
107645h
175.00 79,50
Discoun
Roundinge
S Total
CASHI
Change"
078.jpg,,,,,,,,,,,,,[],"630
09/20
38
08
243
Sub Totali"
079.jpg,ICOLS BANTIAIE & FACHIRLI SIR IUD,2018-03-21,13:40:00,MYR,Retail,7.0,0.42,7.42,1.68,0.1008,1.7808,CASH,"[{""name"": ""SAMURAI SPRAY PAINT"", ""qty"": 1, ""unit_price"": 7.0, ""total_price"": 7.0}]","•'
'IS TCOLS BANTIAIE & FACHIRLI SIR IUD
1151414-P
3T JALAN BANDAR SAILS
PUSAT BANDAR: PUCHONG
4716 ELF 03-5819 SE52NGOR
GST NO: 000761802752
TAX INVOICE:
RECEIPT #Đ CS00032256 DATE: 21/03/2018
+ SALE"
080.jpg,ALG RESTORAN,2018-03-17,15:22:52,MYR,Food & Beverage,9.07,0.53,9.6,2.1768,0.1272,2.304,CASH,"[{""name"": ""Kor (B)"", ""qty"": 2, ""unit_price"": 2.2, ""total_price"": 4.4}, {""name"": ""rTeh (B)"", ""qty"": 1, ""unit_price"": 2.2, ""total_price"": 2.2}, {""name"": ""Cham (B)"", ""qty"": 1, ""unit_price"": 0.8, ""total_price"": 0.8}]","ALG RESTORAN RAN. SHENG
:002043319-N7
-N6:2, Jalan: Temenggung 19/9,:
Seksyen 9; Bandar Mahkota Cheras;
43200 Cheras, Selangor
GST REG ND: 001335787520
Tax Invoice
:INV Nor:
1049519 Cashier: Thandar
:"
081.jpg,RESTORAN WAN SHENG,2018-03-23,13:28:55,MYR,Food & Beverage,6.33,0.37,6.7,1.5192,0.0888,1.608,CASH,"[{""name"": ""Teh (B)"", ""qty"": 1, ""unit_price"": 2.2, ""total_price"": 2.2}, {""name"": ""Cham (B)"", ""qty"": 1, ""unit_price"": 1.7, ""total_price"": 1.7}, {""name"": ""Bunga Kekwa"", ""qty"": 3, ""unit_price"": 0.2, ""total_price"": 0.6}]","Jef-tiss,
•DCE2
RESTORAN WAN SHENG
:002043319-W
No.2, Jalan Temenggung 19/9,.
Seksyen 9, Bandar Mahkota Cheras,
:43200 Cheras, Salangor
GST REG NO:: 001335787520
Tax
Invoice
INV No.: 1057981 Cashier: "
082.jpg,RESTORAN WAN SHENG,2018-03-21,11:42:20,MYR,Food & Beverage,4.54,0.26,4.8,1.0896,0.0624,1.152,CASH,"[{""name"": ""Cham (B). Take Away"", ""qty"": 2, ""unit_price"": 2.2, ""total_price"": 4.4}, {""name"": null, ""qty"": 2, ""unit_price"": 0.2, ""total_price"": 0.4}]","I RESTORAN WAN SHENG
002043319-W
Na.2, Jalan Temenggung 18/9,
Seksyen. 9. Bandar. Mahkota Cheras;
43200 Cheras; Selangor
• GST REG NO: 001335787520
Tax Invoice
- INV No:: 1054250 Cashier: Thandar
= Da"
083.jpg,RESTORAN WAN SHENG,2018-03-10,16:01:37,MYR,Food & Beverage,6.81,0.39,7.2,1.6344,0.0936,1.728,CASH,"[{""name"": ""sTeh: (B)"", ""qty"": 2, ""unit_price"": 2.2, ""total_price"": 4.4}, {""name"": ""Cham (B):"", ""qty"": 2, ""unit_price"": 1.0, ""total_price"": 2.2}, {""name"": ""Take: Away"", ""qty"": 1, ""unit_price"": 12.2, ""total_price"": 12.2}, {""name"": null, ""qty"": 1, ""unit_price"": 0.2, ""total_price"": 0.2}]","iTkat
""¿÷[÷
RESTORAN WAN SHENG
:002043319-W
No: 2, ilalan Temenggung 19/9,
:Seksyen 9, Bandar Mahkota Cheras,
43200 Cheras, Selangor
GST REG NO: 001335787520
Tax Invoice
INV No.:
1037698 Cashier: Nico"
